iter	Passed	Remaining
0	49	9837
1	50	5009
2	51	3385
3	52	2570
4	53	2071
5	53	1733
6	54	1489
7	55	1334
8	56	1199
9	57	1089
10	58	1000
11	59	926
12	59	860
13	60	809
14	61	763
15	62	721
16	63	684
17	64	651
18	65	620
19	66	594
20	67	574
21	68	552
22	69	531
23	69	512
24	70	494
25	71	477
26	72	462
27	72	448
28	74	437
29	75	425
30	76	416
31	77	406
32	77	393
33	78	381
34	78	370
35	78	359
36	79	349
37	79	340
38	83	343
39	85	341
40	86	335
41	87	328
42	88	322
43	89	316
44	90	310
45	91	304
46	91	299
47	93	294
48	94	290
49	94	284
50	95	280
51	96	275
52	97	271
53	98	267
54	99	262
55	100	258
56	101	254
57	102	250
58	103	247
59	104	243
60	105	239
61	106	235
62	106	232
63	107	228
64	108	225
65	109	222
66	110	218
67	111	215
68	111	212
69	112	209
70	113	206
71	114	204
72	115	201
73	116	198
74	117	196
75	118	193
76	118	189
77	119	186
78	119	183
79	120	181
80	122	179
81	123	177
82	123	174
83	124	172
84	125	169
85	126	167
86	127	165
87	128	163
88	129	160
89	129	158
90	131	156
91	131	154
92	132	152
93	133	150
94	134	148
95	135	146
96	136	144
97	137	143
98	138	141
99	139	139
100	140	137
101	141	135
102	142	133
103	142	131
104	143	130
105	144	128
106	145	126
107	146	124
108	146	122
109	146	120
110	148	119
111	149	117
112	150	115
113	150	113
114	151	111
115	152	110
116	153	108
117	154	107
118	155	105
119	156	104
120	157	102
121	158	101
122	159	99
123	159	97
124	160	96
125	161	94
126	162	93
127	163	91
128	164	90
129	165	88
130	166	87
131	166	85
132	167	84
133	168	83
134	169	81
135	170	80
136	171	78
137	172	77
138	173	76
139	174	74
140	175	73
141	176	72
142	178	70
143	179	69
144	180	68
145	180	66
146	181	65
147	182	64
148	183	62
149	184	61
150	185	60
151	186	58
152	187	57
153	188	56
154	190	55
155	191	54
156	192	52
157	193	51
158	194	50
159	195	48
160	195	47
161	196	46
162	197	44
163	198	43
164	199	42
165	199	40
166	200	39
167	200	38
168	201	36
169	202	35
170	202	34
171	203	33
172	205	31
173	205	30
174	206	29
175	206	28
176	208	27
177	209	25
178	209	24
179	210	23
180	210	22
181	211	20
182	211	19
183	211	18
184	212	17
185	213	16
186	214	14
187	215	13
188	216	12
189	217	11
190	218	10
191	220	9
192	220	8
193	221	6
194	221	5
195	223	4
196	223	3
197	223	2
198	225	1
199	225	0
